                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0858,                 3.3007,                 1.1887,                0.00676,                0.44522,                0.18535,                  0.152,                0.89369,                 3.4903,                 1.0511,             0.00010003,             0.00010003,             0.00010003
                      1,                0.94871,                 2.4414,                 1.1304,                0.00934,                0.58155,                0.25437,                0.20559,                0.98192,                 3.2398,                 1.0601,             0.00021329,             0.00021329,             0.00021329
                      2,                 1.0536,                 1.7948,                 1.1531,                0.93323,                0.20211,                0.34599,                0.29327,                 0.9518,                 2.9587,                 1.0446,             0.00032542,             0.00032542,             0.00032542
                      3,                 1.1969,                 1.8211,                 1.2335,                0.93041,                0.26018,                0.44549,                0.37112,                0.98811,                 2.8344,                  1.055,             0.00043641,             0.00043641,             0.00043641
                      4,                 1.0255,                 1.6033,                    1.1,                0.94618,                0.32469,                0.52807,                0.43338,                 1.0253,                 2.7866,                 1.0837,             0.00054628,             0.00054628,             0.00054628
                      5,                 1.1613,                 1.7089,                 1.1865,                0.93241,                0.38921,                0.56198,                0.46073,                 1.0393,                 2.7523,                 1.0895,             0.00065501,             0.00065501,             0.00065501
                      6,                 1.0229,                 1.3994,                 1.1214,                0.96676,                0.31622,                0.56951,                0.46219,                 1.1202,                 2.7097,                 1.1517,             0.00076261,             0.00076261,             0.00076261
                      7,                 1.2007,                 1.4306,                 1.1528,                0.87066,                 0.3888,                0.61524,                0.47421,                 1.1643,                 2.4269,                 1.1953,             0.00086908,             0.00086908,             0.00086908
                      8,                 1.0649,                 1.3979,                 1.2007,                0.75945,                 0.3477,                 0.4862,                0.34178,                 1.2336,                 2.5862,                  1.279,             0.00097441,             0.00097441,             0.00097441
                      9,                 1.1458,                  1.427,                 1.1733,                0.78041,                 0.4404,                0.58669,                0.42506,                  1.298,                 2.4336,                 1.3263,              0.0010786,              0.0010786,              0.0010786
                     10,                 1.1763,                 1.4765,                 1.2202,                0.75173,                0.45363,                0.54569,                0.39292,                 1.2845,                 2.4449,                 1.3443,              0.0011817,              0.0011817,              0.0011817
                     11,                 1.0855,                 1.5022,                 1.1821,                0.81294,                0.57505,                0.67509,                  0.499,                 1.3062,                 2.2889,                 1.3482,              0.0012836,              0.0012836,              0.0012836
                     12,                 1.0297,                 1.4743,                 1.1591,                 0.7023,                0.51718,                0.65097,                0.47821,                 1.2959,                 2.3349,                 1.3616,              0.0013441,              0.0013441,              0.0013441
                     13,                 1.3038,                 1.4536,                 1.4477,                0.65077,                0.58722,                0.68075,                0.47141,                 1.4512,                 2.2201,                  1.515,              0.0013441,              0.0013441,              0.0013441
                     14,                 1.0505,                 1.2866,                 1.1305,                0.70029,                0.58988,                0.68905,                0.48702,                 1.4401,                 2.1418,                  1.481,               0.001337,               0.001337,               0.001337
                     15,                 1.0256,                 1.3464,                 1.1131,                0.73818,                0.65002,                0.75442,                0.57188,                 1.2668,                 1.7212,                 1.3261,                0.00133,                0.00133,                0.00133
                     16,                 1.1459,                 1.3421,                 1.2157,                0.82147,                0.74542,                0.82076,                0.61585,                 1.2207,                 1.6277,                 1.2837,              0.0013229,              0.0013229,              0.0013229
                     17,                 1.1008,                 1.2723,                 1.1531,                0.86368,                0.78777,                0.84759,                 0.6443,                 1.1543,                 1.4439,                 1.2195,              0.0013158,              0.0013158,              0.0013158
                     18,                  1.034,                 1.2582,                 1.1534,                0.89132,                0.72365,                0.82919,                0.63153,                 1.1182,                 1.4515,                 1.2076,              0.0013087,              0.0013087,              0.0013087
                     19,                 1.1075,                  1.308,                 1.1172,                0.82916,                 0.7455,                0.82244,                0.59999,                  1.204,                 1.5379,                 1.2847,              0.0013017,              0.0013017,              0.0013017
                     20,                 1.0204,                 1.1926,                 1.1315,                0.88245,                0.72991,                0.82181,                0.61809,                 1.1706,                 1.4857,                 1.2459,              0.0012946,              0.0012946,              0.0012946
                     21,                 1.2717,                 1.7401,                  1.287,                 0.8744,                0.76894,                0.84697,                0.63263,                 1.1999,                  1.492,                 1.2753,              0.0012875,              0.0012875,              0.0012875
                     22,                 0.9209,                 2.6309,                0.99094,                0.84359,                0.84913,                0.87093,                0.63348,                 1.1911,                 1.4037,                  1.238,              0.0012805,              0.0012805,              0.0012805
                     23,                 1.0921,                 1.3082,                 1.1581,                0.89097,                0.80114,                0.87095,                0.65631,                 1.1213,                 1.4262,                 1.1838,              0.0012734,              0.0012734,              0.0012734
                     24,                 1.0377,                 1.3022,                 1.1238,                 0.8193,                0.78086,                0.85086,                0.63304,                 1.1463,                 2.0577,                 1.2087,              0.0012663,              0.0012663,              0.0012663
                     25,                 1.1452,                 1.1289,                 1.2144,                  0.911,                0.79505,                0.86126,                0.64667,                 1.0808,                  1.509,                 1.1484,              0.0012592,              0.0012592,              0.0012592
                     26,                 1.2356,                 1.5926,                 1.3953,                0.88045,                0.77744,                0.85077,                0.65576,                 1.1079,                  1.275,                  1.177,              0.0012522,              0.0012522,              0.0012522
                     27,                 1.2217,                 1.6385,                 1.3841,                0.86605,                0.82273,                0.87029,                0.69438,                 1.0858,                 1.2704,                 1.1485,              0.0012451,              0.0012451,              0.0012451
                     28,                0.97038,                 1.0549,                  1.103,                 0.8667,                0.82275,                0.88354,                 0.7017,                 1.0201,                 1.1449,                 1.1214,               0.001238,               0.001238,               0.001238
                     29,                0.99041,                  1.184,                 1.1174,                0.87669,                0.77106,                0.86395,                0.66023,                 1.0474,                 1.2588,                 1.1536,              0.0012309,              0.0012309,              0.0012309
                     30,                 1.0964,                 1.9275,                 1.2651,                0.85314,                0.78358,                0.85488,                0.64492,                 1.1139,                 1.3008,                 1.1841,              0.0012239,              0.0012239,              0.0012239
                     31,                0.99012,                 1.2166,                 1.1207,                0.83521,                0.81804,                0.87594,                0.68989,                 1.0047,                 1.1622,                 1.1115,              0.0012168,              0.0012168,              0.0012168
                     32,                 1.0093,                 1.0755,                 1.1157,                0.88897,                0.82319,                 0.8927,                0.71342,                0.93991,                 1.0704,                  1.051,              0.0012097,              0.0012097,              0.0012097
                     33,                 1.0144,                 1.0313,                 1.0787,                0.91105,                0.86221,                0.91168,                0.70594,                0.97404,                 1.1089,                 1.0641,              0.0012026,              0.0012026,              0.0012026
                     34,                 1.0028,                 1.1811,                 1.1649,                0.83709,                0.86639,                0.90292,                0.71447,                0.97735,                 1.1204,                  1.076,              0.0011956,              0.0011956,              0.0011956
                     35,                 1.0203,                 1.0993,                 1.2014,                0.92767,                0.86235,                  0.916,                0.74323,                0.91111,                 1.0289,                 1.0423,              0.0011885,              0.0011885,              0.0011885
                     36,                 1.0846,                 1.0746,                  1.161,                0.90809,                0.88431,                0.91159,                 0.7478,                0.90022,                 1.0503,                 1.0358,              0.0011814,              0.0011814,              0.0011814
                     37,                0.93976,                0.97282,                 1.0964,                0.86513,                0.84058,                0.90638,                0.72597,                0.93401,                 1.1404,                 1.0441,              0.0011744,              0.0011744,              0.0011744
                     38,                 1.0311,                 0.9984,                 1.0875,                0.90604,                0.80891,                0.89911,                0.71804,                0.93809,                 1.0427,                  1.058,              0.0011673,              0.0011673,              0.0011673
                     39,                0.89535,                 0.9707,                 1.0777,                0.89503,                0.82768,                0.90547,                0.74548,                0.89858,                0.98113,                 1.0389,              0.0011602,              0.0011602,              0.0011602
                     40,                0.90946,                0.97376,                 1.0701,                0.90022,                0.84725,                0.91567,                0.76455,                0.86029,                0.97962,                 1.0093,              0.0011531,              0.0011531,              0.0011531
                     41,                  0.882,                 1.0074,                 1.0409,                0.93573,                0.87513,                 0.9322,                0.76254,                0.82641,                0.88556,                 1.0012,              0.0011461,              0.0011461,              0.0011461
                     42,                0.94597,                0.93331,                 1.0704,                0.89176,                0.88151,                0.92029,                0.75559,                0.87107,                0.93424,                 1.0263,               0.001139,               0.001139,               0.001139
                     43,                 1.0041,                 1.3816,                 1.1845,                0.93629,                0.87789,                0.92068,                0.76824,                0.84672,                0.88506,                 1.0158,              0.0011319,              0.0011319,              0.0011319
                     44,                0.98368,                 1.2783,                 1.2256,                0.95371,                0.87052,                0.93179,                0.75612,                0.87627,                0.89038,                  1.018,              0.0011248,              0.0011248,              0.0011248
                     45,                0.80946,                  1.639,                0.94836,                0.92646,                0.89443,                0.93585,                0.76614,                0.85537,                0.88522,                0.99009,              0.0011178,              0.0011178,              0.0011178
                     46,                 1.0641,                 1.0906,                 1.1586,                0.96155,                0.88521,                0.93651,                0.78048,                0.79534,                0.89124,                0.97505,              0.0011107,              0.0011107,              0.0011107
                     47,                 0.7844,                0.82931,                 1.0117,                0.92692,                0.87117,                0.92659,                  0.772,                0.80523,                0.92897,                0.98394,              0.0011036,              0.0011036,              0.0011036
                     48,                0.84784,                0.82762,                 1.0068,                0.91167,                0.86852,                0.92424,                0.76844,                0.80818,                0.97221,                0.98644,              0.0010965,              0.0010965,              0.0010965
                     49,                0.93537,                0.92478,                 1.0788,                0.93678,                0.85686,                0.91978,                0.75764,                0.81585,                0.97558,                0.99845,              0.0010895,              0.0010895,              0.0010895
                     50,                0.99928,                0.95411,                 1.2236,                0.90048,                0.85585,                0.90917,                0.75868,                0.84314,                0.97198,                 1.0133,              0.0010824,              0.0010824,              0.0010824
                     51,                0.84624,                0.83887,                 1.0106,                0.92466,                0.86311,                0.92234,                0.76121,                0.83865,                0.94053,                 1.0211,              0.0010753,              0.0010753,              0.0010753
                     52,                 0.7845,                0.82928,                0.98547,                0.90562,                 0.8971,                0.92616,                0.76578,                0.84156,                0.90269,                 1.0131,              0.0010682,              0.0010682,              0.0010682
                     53,                0.80873,                0.79791,                0.99521,                0.92397,                0.92567,                0.94436,                0.79169,                0.78871,                0.82671,                0.98608,              0.0010612,              0.0010612,              0.0010612
                     54,                0.87247,                0.81398,                 1.0635,                0.93584,                0.91341,                0.94205,                0.77573,                0.78827,                0.83782,                0.98137,              0.0010541,              0.0010541,              0.0010541
                     55,                  0.799,                0.83971,                  1.049,                0.93328,                 0.9038,                0.93494,                0.77628,                0.76498,                0.81977,                0.95705,               0.001047,               0.001047,               0.001047
                     56,                0.87943,                 0.8567,                 1.0063,                0.94776,                0.92188,                0.94438,                0.80214,                0.76701,                0.76355,                0.95378,                0.00104,                0.00104,                0.00104
                     57,                0.86346,                0.89256,                  1.063,                 0.9358,                0.93229,                0.95115,                0.79498,                0.80676,                0.77851,                0.97818,              0.0010329,              0.0010329,              0.0010329
                     58,                 0.9518,                0.90684,                 1.0593,                0.92813,                0.91149,                0.94979,                0.77918,                0.82134,                0.77909,                0.98164,              0.0010258,              0.0010258,              0.0010258
                     59,                0.87741,                0.87911,                 1.0319,                0.95913,                0.87414,                0.94266,                0.78396,                 0.7661,                0.79304,                0.96468,              0.0010187,              0.0010187,              0.0010187
                     60,                0.77189,                0.74381,                 1.0031,                0.95711,                0.91026,                0.94402,                0.78252,                0.78171,                0.79099,                0.97769,              0.0010117,              0.0010117,              0.0010117
                     61,                0.81439,                 0.7364,                 1.0545,                0.94703,                0.91477,                0.94402,                0.79059,                0.78591,                0.80335,                 0.9757,              0.0010046,              0.0010046,              0.0010046
                     62,                0.90248,                0.76252,                 1.0384,                0.95856,                0.91668,                0.94752,                0.80597,                0.75412,                0.75544,                0.95977,             0.00099751,             0.00099751,             0.00099751
                     63,                0.79255,                0.74772,                0.99805,                0.96675,                0.90894,                0.94763,                0.80061,                0.74349,                0.73106,                0.94846,             0.00099044,             0.00099044,             0.00099044
                     64,                0.81148,                0.85315,                 1.0132,                0.95595,                0.93107,                0.95208,                0.81267,                0.70751,                0.70006,                0.93736,             0.00098337,             0.00098337,             0.00098337
                     65,                0.86004,                0.85226,                 1.0345,                 0.9663,                0.91651,                0.95263,                0.82988,                0.69309,                0.67362,                0.92811,             0.00097629,             0.00097629,             0.00097629
                     66,                0.86802,                0.82606,                 1.0241,                0.97383,                0.93173,                0.96019,                 0.8196,                0.70822,                0.66732,                0.92864,             0.00096922,             0.00096922,             0.00096922
                     67,                0.79217,                0.75817,                0.99897,                0.96548,                0.94387,                0.95991,                0.81383,                0.70807,                0.67277,                0.93273,             0.00096215,             0.00096215,             0.00096215
                     68,                 1.0779,                0.86436,                 1.1007,                0.94738,                0.93612,                0.95721,                0.81802,                0.70788,                0.68289,                0.93533,             0.00095507,             0.00095507,             0.00095507
                     69,                0.79536,                0.81646,                 1.0203,                0.94723,                0.92608,                0.95447,                0.83133,                0.70026,                0.66458,                0.92894,               0.000948,               0.000948,               0.000948
                     70,                0.83488,                0.76546,                 1.0051,                0.92782,                 0.9289,                0.94993,                0.82749,                0.69943,                0.67772,                0.94091,             0.00094093,             0.00094093,             0.00094093
                     71,                0.81703,                0.74033,                 1.0532,                0.96198,                0.92637,                0.95925,                0.83022,                 0.7215,                0.65669,                0.94469,             0.00093385,             0.00093385,             0.00093385
                     72,                0.80156,                0.74918,                0.99725,                0.96894,                0.92021,                0.96329,                0.82671,                0.70646,                0.66562,                 0.9273,             0.00092678,             0.00092678,             0.00092678
                     73,                0.83903,                0.78571,                 1.0043,                0.95953,                0.94063,                 0.9617,                0.84023,                0.67433,                0.63377,                0.91421,              0.0009197,              0.0009197,              0.0009197
                     74,                0.78468,                  1.023,                  1.048,                0.97068,                0.93186,                0.96146,                0.83449,                0.65355,                0.61994,                0.90848,             0.00091263,             0.00091263,             0.00091263
                     75,                0.75039,                0.71487,                0.98644,                0.97281,                0.94259,                0.96324,                0.84374,                0.66254,                0.62118,                0.91359,             0.00090556,             0.00090556,             0.00090556
                     76,                0.86549,                 0.8039,                 1.0272,                0.96053,                0.93868,                0.96021,                0.82924,                0.68408,                0.62616,                0.91883,             0.00089848,             0.00089848,             0.00089848
                     77,                0.74202,                 0.6474,                0.99676,                0.97448,                0.92683,                0.96088,                0.83357,                0.68005,                0.61767,                0.91933,             0.00089141,             0.00089141,             0.00089141
                     78,                0.80711,                0.72741,                 1.0285,                0.97806,                0.92975,                0.96276,                0.84123,                0.66089,                0.60396,                0.90698,             0.00088434,             0.00088434,             0.00088434
                     79,                0.82645,                0.74925,                 1.0213,                0.97379,                0.93032,                0.96194,                 0.8341,                0.66173,                 0.6045,                0.90881,             0.00087726,             0.00087726,             0.00087726
                     80,                0.69926,                0.67867,                0.97262,                0.96315,                0.93496,                 0.9592,                0.82919,                0.67895,                0.62241,                0.92548,             0.00087019,             0.00087019,             0.00087019
                     81,                0.73042,                0.67873,                0.98899,                0.96905,                0.91499,                0.95703,                0.84149,                0.66961,                0.63575,                0.93066,             0.00086312,             0.00086312,             0.00086312
                     82,                0.68656,                 0.6281,                 0.9637,                0.95336,                0.92467,                0.95745,                0.83059,                 0.6691,                 0.6289,                0.93028,             0.00085604,             0.00085604,             0.00085604
                     83,                0.73551,                0.62315,                0.95653,                0.96248,                0.93747,                0.96526,                 0.8481,                0.64083,                0.56421,                0.90471,             0.00084897,             0.00084897,             0.00084897
                     84,                0.79136,                 0.6911,                 0.9974,                0.97991,                0.94188,                0.96885,                0.84562,                0.63943,                  0.538,                0.89516,              0.0008419,              0.0008419,              0.0008419
                     85,                0.73541,                0.69631,                 1.0069,                0.97476,                0.93904,                0.96592,                0.84297,                0.63839,                0.53734,                0.88856,             0.00083482,             0.00083482,             0.00083482
                     86,                0.76352,                0.69229,                0.97721,                0.98025,                 0.9376,                0.96559,                0.84698,                0.59908,                0.53568,                0.88265,             0.00082775,             0.00082775,             0.00082775
                     87,                0.89479,                 1.2799,                 1.0369,                0.98488,                0.93148,                0.96627,                0.84735,                0.62427,                0.55187,                0.89812,             0.00082067,             0.00082067,             0.00082067
                     88,                 0.7182,                0.63214,                0.99201,                0.98363,                0.94135,                0.97202,                0.85992,                0.59995,                0.54926,                0.88815,              0.0008136,              0.0008136,              0.0008136
                     89,                0.67053,                0.61557,                0.94829,                0.97971,                0.94332,                0.97022,                0.84911,                0.61109,                0.58465,                0.88952,             0.00080653,             0.00080653,             0.00080653
                     90,                0.73836,                0.63072,                 0.9737,                0.97683,                0.94238,                0.97076,                0.85717,                0.59878,                0.57477,                0.88872,             0.00079945,             0.00079945,             0.00079945
                     91,                0.70135,                0.60227,                0.95826,                0.97415,                 0.9395,                0.96594,                0.86095,                0.58537,                0.53674,                0.88126,             0.00079238,             0.00079238,             0.00079238
                     92,                0.67858,                0.59164,                0.92688,                0.97486,                0.92799,                0.96756,                0.85747,                0.59355,                0.52998,                0.88266,             0.00078531,             0.00078531,             0.00078531
                     93,                0.72851,                0.67995,                 1.0185,                0.97819,                0.92799,                0.96748,                0.86942,                0.57382,                 0.5199,                0.87854,             0.00077823,             0.00077823,             0.00077823
                     94,                0.80059,                  0.708,                  1.008,                0.97478,                0.93982,                0.96699,                0.86859,                0.57219,                0.52124,                0.87791,             0.00077116,             0.00077116,             0.00077116
                     95,                0.66118,                0.59525,                0.96299,                0.98906,                0.93867,                0.96879,                0.86946,                0.58034,                 0.5124,                 0.8814,             0.00076409,             0.00076409,             0.00076409
                     96,                0.65613,                 0.5932,                0.94574,                0.98606,                0.94541,                0.96931,                0.85719,                0.58469,                0.50928,                0.88144,             0.00075701,             0.00075701,             0.00075701
                     97,                0.71534,                0.90803,                 1.0433,                0.98321,                0.94193,                0.96873,                0.86702,                0.57212,                0.49463,                0.87568,             0.00074994,             0.00074994,             0.00074994
                     98,                0.91889,                0.88785,                 1.1266,                0.97746,                0.93891,                0.96774,                0.86461,                 0.5715,                 0.5016,                0.87308,             0.00074287,             0.00074287,             0.00074287
